SEQC_NB001	SEQC_NB002	SEQC_NB003	SEQC_NB004	SEQC_NB005	SEQC_NB006
UKv4_A_23_P386364	-0.032230364	0.120975266	0.122111712	0.336902257	0.144272036
UKv4_A_23_P105475	-1.023343973	-1.051824153	-0.649431669	-1.300306593	-1.806515745
UKv4_A_32_P16975	1.025362326	1.162057131	0.923741274	1.145868955	1.335012629
UKv4_A_23_P429491	0.397965998	0.283141814	0.490165985	0.470324538	0.537257674
UKv4_A_23_P131308	-0.433661739	-0.173593083	-0.528752657	-0.107035536	-0.416041821
UKv4_A_23_P37545	1.328673134	1.354330548	1.236971841	1.198274094	1.285226592
UKv4_A_23_P93431	1.186446253	1.121344432	1.138356027	1.293145468	1.127030724
UKv4_A_23_P6909	-0.039581416	-0.903684669	-0.457214406	-0.835587451	-0.762776526
UKv4_A_32_P88719	0.073880477	0.098395114	0.094031277	0.070358873	0.097137326
UKv4_A_23_P380951	0.244872344	0.243455486	0.161558037	0.294134844	0.222338898
UKv4_A_24_P352864	0.244233122	0.528786499	0.254825197	0.360695395	0.327508218
UKv4_A_23_P318262	-1.893644636	-1.880789436	0.568055763	-0.134744001	-0.176833172
UKv4_A_32_P315770	-0.857465881	-0.399394604	-0.837303151	-0.393155552	-0.537413698
UKv4_A_24_P188800	-0.014012539	-0.570798487	-0.897475512	-0.431405281	-0.615185968
UKv4_A_23_P26729	0.327331974	0.207532516	0.171921055	0.236910841	0.186398682
UKv4_A_23_P217468	-1.133929367	-0.256729097	-0.243268234	-1.180136186	-0.330315569
UKv4_A_23_P384072	-0.05747963	0.055287551	0.069628042	-0.154019455	-0.201873486
UKv4_A_23_P253321	0.346508632	-0.196515358	-0.287394632	-0.525674297	-1.04676315
UKv4_A_24_P945312	-0.794822131	-0.709016388	-0.444177061	-0.907268044	-0.865294519
UKv4_A_24_P354429	-1.714982105	-2.151067015	-1.163236772	-1.796649526	-1.806515745
UKv4_A_23_P256663	2.298053196	2.451862793	2.255890483	2.577673751	2.077384301
UKv4_A_23_P24433	1.610250395	1.378279194	1.7046448	1.50186249	1.509705646
UKv4_A_23_P8253	-0.742405933	-1.246492434	-0.596947999	-1.192785702	-1.536964127
UKv4_A_23_P85441	0.736753623	1.616739286	1.256026422	0.818487421	1.207748914
UKv4_A_23_P49657	-1.878942531	-2.075115594	-2.157083598	-1.757797439	1.550653924
UKv4_A_23_P29067	0.090180636	-0.104826255	0.182284073	-0.14377937	-0.145901019
UKv4_A_23_P78383	0.516222055	0.906490863	0.228081925	0.541402773	0.332221689
UKv4_A_32_P37360	-0.218883169	-0.287862337	-0.408407935	-0.176306698	-0.09729335
UKv4_A_23_P419503	-0.27865042	-0.239622921	-0.344558375	-0.285634662	-0.371853031
UKv4_A_23_P345710	0.188620814	0.31974903	0.444368133	0.585073723	0.60059494
UKv4_A_23_P27767	1.117410284	1.33996136	1.402111542	1.348863577	1.331772118
UKv4_A_23_P317839	-1.908666351	-2.145935162	-2.235976248	-1.796649526	-1.806515745
UKv4_A_23_P140074	-1.908666351	-2.145935162	-2.097245528	-1.796649526	-1.806515745
UKv4_A_23_P359043	-0.347047167	-0.671040677	-0.442171316	-0.219074111	-0.250186563
UKv4_A_23_P25994	0.607630792	0.683768453	0.378512827	0.829329863	0.635062196
UKv4_A_24_P186274	0.725247628	0.798721955	0.561369946	0.503153045	0.710477731
UKv4_A_23_P112874	-0.618077267	-0.030927576	-0.512706694	-0.363037656	-1.640955079
UKv4_A_23_P370682	0.311031815	-0.236201686	-0.098520278	-0.290453526	-0.369496296
UKv4_A_23_P128263	-1.883736696	-1.239992087	-1.61519806	-1.757797439	-1.778529512
