SEQC_NB001	SEQC_NB002	SEQC_NB003	SEQC_NB004	SEQC_NB005	SEQC_NB006
NM_144657	0.435769526	0.589275831	0.569749842	0.610693786	0.555531268
NM_019844	-1.772976104	-1.713980886	-1.297108221	-1.713491116	-1.710189499
NM_133450	0.569505626	0.718416069	0.589282186	0.670282715	0.7540239
NM_145018	0.325022773	0.307754496	0.447564177	0.449045275	0.524282983
NM_000784	0.26158102	0.625233384	0.151106596	0.557172094	0.380364822
NM_024666	0.796967521	0.850406602	0.783520499	0.747206605	0.806617845
NM_016108	0.632284225	0.58730255	0.694322794	0.695851782	0.572035645
NM_178445	-0.216332116	-0.759351686	-1.010199786	-0.765702121	-0.829075867
NM_080879	-0.208816368	-0.328299549	-0.078506963	-0.209683245	-0.226776164
NM_144689	0.655052519	0.731571272	0.660032678	0.707769568	0.501176856
NM_005789	1.041450374	1.176217119	1.091263435	1.11969158	1.128783269
NM_005221	-1.108495583	-0.661345427	0.989261193	0.535503393	0.525823391
NM_002897	0.836977825	0.892064743	1.018776735	1.084804971	1.03393812
NM_017923	0.729988945	0.507055815	0.500518533	0.440377794	0.493034697
NM_004645	0.817967404	0.710303694	0.834521621	0.784043397	0.708031705
NM_002025	-0.537077703	0.46452066	0.25137263	-0.465157234	0.383445639
NM_013333	1.136060375	1.252736547	1.24752219	1.154794876	1.154310038
NM_006228	-0.122827372	-0.3511019	-1.664967372	-0.959203623	-1.710189499
NM_020144	0.429801138	0.399402407	0.355545133	0.317082884	0.345595603
NM_002159	-1.772976104	-1.713980886	-1.664967372	-1.713491116	-1.710189499
NM_003614	-1.772976104	-1.079461616	-0.646030078	-0.959203623	-0.68867864
NM_003793	0.896440652	0.735737086	1.044602835	0.886319667	0.897281885
NM_139165	-1.400725539	-1.713980886	-1.297108221	-1.223995153	-0.90873699
NM_020789	0.767125581	1.239800598	1.005972198	0.66486554	0.93403163
NM_005963	-0.608256255	-1.298714992	-0.826161697	-1.223995153	1.362925353
NM_005656	-1.772976104	-1.713980886	-1.664967372	-1.713491116	-1.710189499
NM_013326	0.63316843	0.865754338	0.52482545	0.618061145	0.578417337
NM_145315	0.0774452	0.001676782	0.021759071	0.05402485	0.037733972
NM_001080457	1.182702221	1.286282314	1.168090656	1.154144815	1.010171819
NM_152531	0.548726794	0.75875869	0.84884534	0.815679701	0.850409457
NM_018337	0.640684178	0.813791288	0.868160658	0.757174207	0.84600829
NM_152779	-0.82930766	-0.320844934	-1.080082173	-0.880546238	-0.866485787
NM_003891	-0.582614293	-0.40240719	-0.763224144	-0.493976606	-0.28465151
NM_007203	0.963419228	0.745603488	0.875105491	0.89260359	0.951416239
NM_001008530	0.825483152	0.840759453	0.780265109	0.950892397	0.966380207
NM_001007563	0.943966704	1.185206507	0.830832178	0.888703224	0.860752199
NM_004466	-1.400725539	0.133448061	-1.010199786	-0.248470221	-0.90873699
NM_138456	0.096897724	-0.306812718	-0.626931786	-0.253020648	-0.426369088
NM_005039	-1.772976104	-1.170451767	-1.664967372	-1.713491116	-1.710189499
NM_024621	-1.108495583	-0.822935166	-0.302043792	-0.765702121	-0.591852966
NM_024662	0.930924671	0.821903663	1.012700006	0.789893946	0.871094942
NM_021242	0.634052636	0.842732734	0.733170456	0.880252431	0.713313105
NM_016429	-0.062259287	-0.217576594	-0.123214329	0.145900143	0.4206355
NM_012452	-0.140511484	-0.586580026	-1.664967372	-1.223995153	-1.710189499
NM_006219	0.535684761	0.478552876	0.398733316	0.509500951	0.414253808
NM_017815	0.458095718	0.394140326	0.60664427	0.474614342	0.570055119
NM_152898	-1.772976104	-1.713980886	0.341655466	-0.959203623	-0.177703152
NM_032941	0.848914601	0.910482027	0.811733885	0.759991138	0.835445489
NM_033341	-1.772976104	-1.713980886	-1.664967372	-1.713491116	-1.710189499
NM_016086	0.662126164	0.267850381	0.561502852	0.481765014	0.434059059
NM_022481	0.80625168	0.466932447	0.896808096	0.742656177	0.60196358
NM_016155	0.962756074	0.812914274	0.788512098	0.679383569	0.702750304
NR_002734	0.292086114	0.353359198	0.397214134	0.241459116	0.390267448
NM_138966	0.590284458	-0.293438262	0.889212185	0.403324315	-0.957810002
NM_176870	-1.179674135	-1.298714992	-0.826161697	-1.223995153	-1.086544136
NM_004722	0.663673524	0.744507221	0.627044719	0.693034851	0.601083347
NM_006411	1.155512898	1.322459121	1.173950359	1.173429959	1.209324625
NM_148896	-0.194005924	0.089378133	0.344910857	0.284579832	0.205418434
NM_145313	-0.183174405	-0.661345427	-0.826161697	-0.51477856	-0.957810002
NM_006062	0.569063523	0.716004282	0.846458053	0.734855445	0.796275103
NM_015718	-1.772976104	-1.713980886	-1.080082173	-0.681844247	-0.957810002
NM_006569	0.381169829	0.341300262	0.784822656	0.709719751	0.710892463
NM_024839	0.309107072	0.429659373	0.440402318	0.316216136	0.32865111
NM_005636	-1.772976104	-0.902304888	-0.953121935	-1.713491116	-1.710189499
